,BlackCommon,Date,BlackUncommon,BlackRare,BlueCommon,BlueUncommon,BlueRare,RedCommon,RedUncommon,RedRare,GreenCommon,GreenUncommon,GreenRare,ItemCommon,ItemUncommon,ItemRare
295,140,2018-12-04 16:00:00,353,2163,125,185,5989,126,339,6406,125,210,4922,126,849,2439
427,138,2018-12-04 17:00:00,351,2184,125,181,6011,127,349,6230,127,220,5095,126,873,2358
246,140,2018-12-04 18:00:00,341,2181,125,175,5637,126,326,6284,124,207,4850,126,822,2253
43,141,2018-12-04 19:00:00,364,2303,125,179,5823,127,337,6017,126,213,4810,126,837,2295
448,140,2018-12-04 20:00:00,359,2606,124,177,5901,127,332,6106,126,213,4882,126,840,2340
89,141,2018-12-04 21:00:00,350,2583,125,179,6044,131,327,5891,127,209,4970,126,876,2379
11,138,2018-12-04 22:00:00,363,2432,124,185,6143,126,328,5940,125,206,4953,126,840,2253
261,137,2018-12-04 23:00:00,348,2253,124,177,5990,126,313,5783,124,205,4889,126,846,2346
156,138,2018-12-05 00:00:00,345,2392,124,181,6139,125,303,6012,124,208,4941,126,831,2322
27,138,2018-12-05 01:00:00,351,2417,127,188,5804,125,324,5890,124,215,4976,126,861,2301
325,137,2018-12-05 02:00:00,336,2330,130,175,6171,125,312,5956,124,200,4918,126,828,2274
220,138,2018-12-05 03:00:00,342,2335,130,183,6165,125,336,5994,126,206,4880,126,795,2286
170,138,2018-12-05 04:00:00,344,2489,127,186,6300,125,332,6021,126,196,5003,126,879,2319
312,138,2018-12-05 05:00:00,354,2389,128,170,6282,127,320,5898,125,206,5031,126,882,2325
240,138,2018-12-05 06:00:00,337,2452,130,171,6274,125,314,6032,126,200,5082,126,867,2292
211,137,2018-12-05 07:00:00,325,2361,130,178,6227,125,306,6030,127,212,5057,126,834,2232
264,139,2018-12-05 08:00:00,335,2341,128,176,6103,125,317,5983,128,211,5027,126,858,2229
97,139,2018-12-05 09:00:00,337,2362,125,177,6057,128,321,5978,127,199,4967,126,858,2184
15,135,2018-12-05 10:00:00,334,2336,127,172,5945,126,317,5922,125,202,4911,126,837,2205
26,137,2018-12-05 11:00:00,354,2405,130,182,6232,128,326,5918,125,218,5039,126,861,2205
394,137,2018-12-05 12:00:00,346,2327,130,168,6158,128,338,6002,127,224,5030,126,894,2250
142,135,2018-12-05 13:00:00,330,2269,130,166,6025,125,305,5960,130,217,4966,126,858,2193
417,136,2018-12-05 14:00:00,327,2342,130,168,6031,128,323,5851,128,215,4955,126,873,2157
391,146,2018-12-05 15:00:00,333,2319,130,159,6020,128,312,5935,124,211,4983,126,867,2226
2,137,2018-12-05 16:00:00,330,2323,130,165,6025,126,308,5944,124,205,5040,126,876,2199
75,136,2018-12-05 17:00:00,329,2333,127,162,6255,125,308,5872,127,225,4945,126,858,2136
330,135,2018-12-05 18:00:00,335,2303,130,167,5972,126,312,5890,124,205,4950,126,861,2175
414,135,2018-12-05 19:00:00,326,2294,130,166,5886,126,309,5621,127,202,4849,126,786,2214
245,134,2018-12-05 20:00:00,326,2265,127,170,5864,126,301,5785,125,200,4912,126,843,2151
407,134,2018-12-05 21:00:00,322,2271,127,162,6230,125,299,5542,125,196,4655,126,819,2160
349,136,2018-12-05 22:00:00,318,2357,130,165,5970,125,316,5815,124,205,4828,126,828,2205
74,134,2018-12-05 23:00:00,326,2299,127,185,5896,125,310,5828,126,204,4973,126,831,2193
178,138,2018-12-06 00:00:00,310,2252,127,164,5817,128,307,5644,124,200,4835,126,831,2088
369,136,2018-12-06 01:00:00,317,2283,126,167,6182,125,297,5773,124,204,4830,126,852,2160
70,133,2018-12-06 02:00:00,318,2314,126,161,6336,126,283,5851,124,202,4937,126,849,2100
123,136,2018-12-06 03:00:00,312,2309,127,159,5984,125,288,5748,124,203,4943,126,831,2121
398,141,2018-12-06 04:00:00,327,2451,130,176,6490,126,315,5892,124,205,5075,126,870,2220
128,144,2018-12-06 05:00:00,328,2444,133,170,6344,129,310,5730,125,212,5100,129,870,2124
288,134,2018-12-06 06:00:00,314,2401,127,168,6166,128,308,5811,124,211,5051,126,852,2184
35,140,2018-12-06 07:00:00,324,2510,129,167,6186,125,309,5882,124,215,5120,126,846,2190
199,133,2018-12-06 08:00:00,327,2510,130,180,6069,125,320,5923,125,205,4976,126,855,2175
359,139,2018-12-06 09:00:00,328,2523,131,171,6069,125,303,5774,125,211,5077,126,879,2220
393,134,2018-12-06 10:00:00,317,2453,130,164,6042,128,304,5662,123,203,5009,126,873,2094
316,134,2018-12-06 11:00:00,323,2355,130,169,5882,125,289,5581,124,200,4782,126,813,1935
439,137,2018-12-06 12:00:00,325,2518,130,157,6072,126,309,5750,124,209,5024,126,870,2172
86,136,2018-12-06 13:00:00,318,2457,130,160,6068,125,301,5745,124,201,5161,126,861,2103
147,132,2018-12-06 14:00:00,312,2315,130,157,6079,128,294,5728,123,195,4868,126,867,2133
304,138,2018-12-06 15:00:00,323,2301,130,162,6054,125,303,5628,123,202,4817,126,855,1986
320,135,2018-12-06 16:00:00,309,2298,130,169,5956,128,297,5627,124,203,5019,126,843,2115
416,138,2018-12-06 17:00:00,310,2251,130,159,5709,125,281,5628,123,198,4979,126,792,2097
248,131,2018-12-06 18:00:00,317,2250,131,153,5780,125,279,5408,123,198,4795,126,834,2046
137,131,2018-12-06 19:00:00,289,2238,130,162,5763,125,268,5532,123,198,4905,126,792,2115
302,132,2018-12-06 20:00:00,299,2257,130,146,5736,127,270,5128,124,198,4583,126,786,2016
71,129,2018-12-06 21:00:00,292,2140,130,155,5930,125,304,5040,124,201,4438,126,753,1818
138,131,2018-12-06 22:00:00,312,2198,127,178,5931,125,283,5102,124,202,4368,126,774,1902
376,130,2018-12-06 23:00:00,282,2196,125,151,5814,125,289,5050,123,195,4353,126,735,2013
239,128,2018-12-07 00:00:00,277,2182,124,150,5471,125,268,4874,124,193,4210,126,726,1788
253,134,2018-12-07 01:00:00,298,2203,128,166,5532,125,273,4845,124,192,4158,126,777,1944
451,131,2018-12-07 02:00:00,298,2196,125,164,5650,125,286,4999,124,199,4225,126,792,1851
